,movie_runtime,log_revenues,Revenue_with_inflation,Interval
2424,99.0,18.664193196766178,127572220.40728346,60-120
2425,101.0,17.9698741382069,63711404.44599737,60-120
2426,92.0,17.516727448265414,40496554.252230965,60-120
2427,98.0,13.29620351070728,594932.6653871391,60-120
2428,128.0,18.105582515284816,72971719.16010498,120-180
2429,96.0,15.851198189742433,7657515.866765091,60-120
2430,102.0,15.909790464024567,8119591.995570865,60-120
2431,98.0,16.710573130531838,18084633.00777559,60-120
2432,135.0,20.044771708175713,507380467.0216535,120-180
2433,91.0,15.045386384472504,3420804.7366469814,60-120
2434,109.0,18.334481953862355,91741184.07096456,60-120
2435,95.0,16.205375137724275,10912016.135137795,60-120
2436,98.0,15.419047483529127,4970581.948786089,60-120
2437,121.0,18.86801216048329,156413259.27939633,120-180
2438,94.0,16.738675421733383,18600061.064829394,60-120
2439,92.0,11.917872554415455,149922.31732283463,60-120
2440,94.0,15.220619734042577,4075971.715583989,60-120
2441,101.0,17.249347946471406,30995356.05255905,60-120
2442,92.0,17.673598311133084,47374672.62880577,60-120
2443,97.0,17.954756534970183,62755484.526541986,60-120
2444,128.0,18.097734988042262,72401312.67358923,120-180
2445,120.0,17.6610154374994,46782297.814206034,60-120
2446,129.0,19.149011181961427,207161902.24330705,120-180
2447,90.0,18.158649111442983,76948668.25278871,60-120
2448,74.0,15.850260606683419,7650339.674278215,60-120
2449,100.0,15.57973346899169,5837034.699934383,60-120
2450,84.0,16.483800170263784,14415292.356594486,60-120
2451,98.0,16.870212009328647,21214850.91656824,60-120
2452,88.0,18.458389335036347,103842858.14356954,60-120
2453,100.0,17.340949339188295,33968675.16361548,60-120
2454,84.0,13.271968572465601,580687.817683727,60-120
2455,97.0,18.504562994437133,108750083.35734907,60-120
2456,119.0,19.419638782468912,271545095.8577428,60-120
2457,98.0,16.935920193630768,22655658.30830052,60-120
2458,105.0,15.377957497777661,4770480.052690288,60-120
2459,114.0,19.174169260787238,212439810.34826115,60-120
2460,115.0,19.092801056673427,195838531.08510497,60-120
2461,140.0,19.37322501441485,259229678.01817584,120-180
2462,92.0,18.69909153355804,132102875.06433725,60-120
2463,106.0,16.969535170859462,23430172.454232283,60-120
2464,105.0,16.49136054589845,14524690.405774277,60-120
2465,88.0,16.569119395605128,15699185.588123359,60-120
2466,98.0,15.241712874328476,4162859.9097112855,60-120
